@title,2013年 世界選手権 個人総合
@link,http://www.fedintgym.com/microsites/13Antwerp/results/files/res/mag/MAG_Results_C2.pdf,
UCHIMURA Kohei,JPN,15.558,15.133,15.100,15.333,15.333,15.533
KATO Ryohei,JPN,15.500,14.600,14.666,14.800,15.300,15.166
HAMBUECHEN Fabian,GER,15.133,13.333,14.800,14.900,15.233,15.933
WHITLOCK Max,GBR,15.266,15.633,14.266,14.733,14.533,14.600
SASAKI JUNIOR Sergio,BRA,15.133,14.250,14.600,15.200,14.900,14.866
MIKULAK Samuel,USA,15.366,14.608,14.775,14.833,15.200,13.766
PURVIS Daniel,GBR,15.133,14.333,14.341,15.033,15.000,14.266
LIKHOVITSKIY Andrey,BLR,14.266,15.000,14.166,14.133,15.058,14.800
LIN Chaopan,CHN,14.466,14.766,14.433,14.133,15.100,13.966
ZHOU Shixiong,CHN,14.833,13.066,14.066,14.700,15.400,14.566
GONZALEZ Fabian,ESP,14.800,14.500,13.966,14.900,13.200,15.000
BELYAVSKIY David,RUS,14.633,13.933,14.533,14.900,14.675,13.600
WILLIG Arnaud,FRA,14.300,14.125,14.466,14.066,14.700,14.333
DEURLOO Bart,NED,14.800,13.700,13.366,14.233,14.166,15.466
VERNIAIEV Oleg,UKR,15.133,13.800,14.733,15.166,15.000,11.833
BRAEGGER Pablo,SUI,14.183,13.916,14.133,13.833,14.566,14.633
OYAKAWA MARIANO Arthur,BRA,15.033,11.633,14.166,14.900,14.508,14.900
SCHMIDT Casimir,NED,15.000,12.700,14.108,14.733,14.066,13.600
PALMA SIMOES Gustavo,POR,14.300,13.766,14.600,13.766,13.166,13.700
ABAD Nestor,ESP,14.466,12.825,13.566,14.400,13.400,14.433
RAMOS RIVERA Angel,PUR,14.600,10.466,13.466,14.500,13.566,14.366
PARK Minsoo,KOR,13.866,11.700,14.300,13.066,13.400,14.566
HEGI Oliver,SUI,13.933,13.766,13.700,14.666,15.000,7.100
CALVO MORENO JO,COL,,14.575,14.433,13.866,15.400,11.233
