@title,2013年 世界選手権 個人予選
@link,http://www.fedintgym.com/microsites/13Antwerp/results/files/res/mag/MAG_CI_Individual_Results.pdf
UCHIMURA Kohei,JPN,15.333,15.133,15.000,15.400,15.400,15.658
MIKULAK Samuel,USA,15.033,14.233,14.700,14.800,15.400,15.366
KATO Ryohei,JPN,14.933,14.600,14.700,14.766,15.400,15.075
LIN Chaopan,CHN,14.566,14.733,14.266,15.066,15.733,15.066
ZHOU Shixiong,CHN,14.733,14.600,13.900,14.933,15.666,15.066
SASAKI JUNIOR Sergio,BRA,15.000,14.300,14.500,15.333,14.900,14.666
HAMBUECHEN Fabian,GER,15.266,12.366,14.866,14.933,15.000,15.633
PURVIS Daniel,GBR,15.266,14.666,14.466,14.900,15.000,12.733
HEGI Oliver,SUI,14.033,14.766,14.200,14.433,15.200,14.366
WHITLOCK Max,GBR,14.533,15.408,12.900,14.900,14.600,14.600
CALVO MORENO JO,COL,14.066,14.308,14.166,14.000,15.233,15.166
LIKHOVITSKIY Andrey,BLR,14.383,13.800,14.033,14.400,15.000,14.600
GONZALEZ Fabian,ESP,14.800,14.300,13.900,15.033,14.733,13.366
BELYAVSKIY David,RUS,14.966,14.800,14.400,14.733,13.066,14.100
PARK Minsoo,KOR,14.166,14.000,13.966,14.433,14.233,14.733
VERNIAIEV Oleg,UKR,14.866,13.533,14.866,15.283,15.200,11.633
DEURLOO Bart,NED,14.733,14.266,14.300,14.600,13.733,13.733
OYAKAWA MARIANO Arthur,BRA,14.800,13.800,14.200,14.866,14.366,13.158
SCHMIDT Casimir,NED,15.000,13.066,14.200,14.866,14.000,13.566
ABAD Nestor,ESP,14.833,13.283,14.666,14.566,12.900,14.300
WILLIG Arnaud,FRA,13.366,14.233,13.833,13.883,14.333,14.366
BRAEGGER Pablo,SUI,14.200,13.466,13.600,14.333,13.466,14.833
RAMOS RIVERA Angel,PUR,14.566,13.708,12.633,14.500,13.333,14.600
PALMA SIMOES Gustavo,POR,13.533,14.033,14.433,13.833,13.866,13.608
GUSCINAS Rokas,LTU,13.533,14.433,14.300,13.358,14.066,13.466
TSUKAHARA Naoya,AUS,13.550,14.008,13.466,14.233,13.633,14.075
BATAGA Cristian Ioan,ROU,13.933,13.366,13.700,14.666,14.000,12.933
GORBACHEV Stepan,KAZ,14.100,13.800,12.025,14.566,13.666,14.000
SMITH Andrew,IRL,14.966,13.066,12.833,14.400,13.800,12.866
KONECNY Martin,CZE,14.466,12.500,12.933,13.733,12.866,14.600
RADOVESNICKY Daniel,CZE,13.900,12.733,13.400,13.100,13.900,13.800
KIRMES Karl Oskar,FIN,14.633,13.000,12.733,13.566,13.600,13.300
FOKIN Anton,UZB,13.633,13.433,11.266,13.533,15.800,13.000
MARTINEZ ERAZUN Osvaldo,ARG,13.166,12.733,14.300,13.800,13.066,13.300
NIVA Heikki,FIN,13.800,13.266,12.733,13.633,14.133,12.658
SKJERAHAUG Stian,NOR,14.133,12.633,12.700,13.700,13.833,13.066
VERBAEYS Jimmy,BEL,14.033,11.200,13.366,14.233,13.733,13.266
BALBOA GONZALEZ Javier,MEX,13.133,12.566,13.733,14.200,14.266,11.666
TVOROGAL Robert,LTU,11.966,11.666,12.666,13.766,14.141,14.133
MANAMA CASTILLO JA,VEN,13.533,10.466,12.900,14.866,13.266,13.266
SHAULOV Eduard,UZB,12.766,11.566,12.466,13.558,14.100,13.600
KRIANGKUM Robert Tee,THA,13.500,12.366,12.833,14.308,12.350,12.600
METIDJI Hellal,ALG,12.466,13.625,12.200,13.533,13.166,12.900
TALAS Bence,HUN,12.400,13.366,13.200,14.066,11.400,13.366
KENIS Daan,BEL,13.566,12.466,13.433,14.500,10.966,12.766
O'CONNOR Christopher,IRL,14.033,11.800,13.666,13.533,12.866,11.600
PLANKE Lars Joyce,NOR,13.033,11.933,13.266,14.066,12.000,13.033
CONRADI Marcus,NOR,13.466,12.800,12.466,13.900,12.866,11.766
KUMAR Ashish,IND,14.033,12.366,11.733,13.233,13.075,11.966
DIMIC Alen,SLO,12.633,12.400,13.366,12.700,12.300,13.000
LIN Yi­Chieh,TPE,12.700,11.166,12.933,14.066,13.000,12.533
PHOCHAT Nattawat,THA,13.566,11.866,12.100,13.483,12.533,12.600
KEIKHA Saeed Reza,IRI,13.333,11.466,13.300,13.100,12.200,12.433
VALCHEV Velislav,BUL,13.366,11.900,12.166,13.300,11.733,12.933
GROBLER Tiaan,RSA,13.266,11.791,12.700,12.066,12.866,12.533
GUNNARSSON Olafur Gardar,ISL,12.266,11.700,12.433,13.366,12.466,12.833
SOTO BYFIELD Tarik,CRC,13.866,10.800,12.666,12.966,12.366,12.300
SCHWAB Matthias,AUT,10.933,12.300,12.666,14.033,12.500,12.500
GAN Zi Jie Gabriel,SIN,11.833,14.041,10.033,13.400,13.100,12.333
ESAULOV Vladislav,LTU,12.733,10.566,12.900,13.333,12.966,11.958
BISHOP David,NZL,13.966,10.300,12.766,11.466,13.100,12.833
LU Hung­Sheng,TPE,13.066,10.891,12.633,13.300,11.566,12.966
HACIB Oualid,ALG,13.400,10.466,12.700,13.300,12.633,11.700
BIYASE Siphesihle,RSA,12.100,11.966,11.600,13.700,12.333,12.500
JUAREZ MORATAYA MA,GUA,13.133,11.066,10.766,14.300,12.366,12.566
SHINDE Abhijit,IND,13.166,11.300,12.083,13.500,12.133,11.966
O'DONNELL Anthony,IRL,12.433,9.866,13.133,13.233,12.766,12.033
ALEKSANDROV Yordan,BUL,11.533,11.591,11.633,13.300,12.366,12.441
NOZADZE Paata,GEO,12.933,11.233,10.300,13.466,13.100,10.583
HASA Alon,ALB,11.533,12.533,12.566,12.800,10.266,11.633
NIN REYES Audrys,DOM,11.633,10.366,11.600,13.033,13.833,10.733
MAKINGS Michael,RSA,11.100,10.533,12.800,13.400,12.200,10.683
VEGA LOPEZ Jorge Alfredo,GUA,11.666,8.366,12.266,13.866,13.066,11.266
CHUNG Kai­Yu,TPE,12.633,10.800,11.333,12.333,11.708,11.600
NAMAZOV Ruslan,AZE,11.100,9.391,11.600,13.533,12.400,11.766
SOTO MENDEZ Luis Alejandro,CRC,12.441,8.600,10.533,12.733,12.700,10.533
GUNNARSSON Jon,ISL,12.658,5.966,11.333,13.166,12.533,11.733
GONZALEZ VEGA Henry,CRC,10.700,9.833,11.333,13.133,11.133,10.333
TAY Wei An Terry,SIN,11.833,8.400,11.333,14.233,12.200,4.633
