@title,2014年 全日本決勝
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/05/14a_nai_mf.pdf
内村 航平,コナミ,15.900,15.350,14.850,13.800,14.750,15.650
野々村 笙吾,順天堂大学,15.200,13.350,15.000,15.000,15.350,15.300
加藤 凌平,順天堂大学,15.250,14.650,14.500,14.350,15.350,14.700
武田 一志,日本体育大学,14.700,14.450,14.950,14.350,15.250,14.300
齊藤 優佑,徳洲会体操ｸﾗﾌﾞ,14.350,14.300,14.100,15.100,14.600,15.400
岡 準平,日本体育大学,15.100,14.750,14.300,14.650,14.550,14.800
神本 雄也,日本体育大学,14.850,13.900,14.850,14.650,14.950,13.250
山室 光史,コナミ,14.250,14.500,14.700,15.050,15.150,14.950
田中 佑典,コナミ,14.800,14.100,13.500,14.200,15.000,16.150
植松 鉱治,コナミ,14.850,13.550,14.100,14.300,15.050,16.100
山本 雅賢,徳洲会体操ｸﾗﾌﾞ,14.600,14.700,14.550,13.500,14.350,15.000
金子 健三,順天堂大学,14.700,14.300,14.200,14.500,14.700,14.750
千葉 健太,清風高等学校,15.000,14.100,13.750,13.600,14.800,14.400
白井 勝太郎,コナミ,15.250,14.500,14.200,14.900,14.300,14.000
長谷川 智将,日本体育大学,14.450,13.900,14.150,14.100,14.600,14.250
白井 健三,県立岸根高等学校,15.700,13.200,13.450,14.850,14.850,14.200
沖口 誠,コナミ,14.650,12.950,14.150,14.100,14.750,14.650
今林 開人,順天堂大学,14.900,14.750,14.250,14.800,11.300,14.650
横山 聖,日本体育大学,13.650,13.250,14.300,13.850,15.100,15.150
柴田 快輝,順天堂大学,14.500,14.250,13.650,14.200,14.500,14.350
小山 仁寛,鹿屋体育大学,15.000,14.000,14.200,14.600,14.700,13.500
山本 翔一,朝日生命,13.550,14.450,13.200,13.650,15.300,14.650
井村 太祐,和歌山県体操協会,14.350,14.600,13.900,13.900,14.550,14.350
石川 大貴,順天堂大学,12.300,14.150,14.000,14.100,14.150,15.450
古谷 嘉章,仙台大学,14.050,13.900,14.250,14.150,14.850,14.750
大川 翔平,仙台大学,14.400,14.450,14.200,13.900,14.500,14.150
萱 和磨,習志野市立習志野高等学校,12.900,13.950,13.500,14.050,15.250,14.000
吉岡 知紘,セントラルスポーツ,15.100,11.850,14.250,13.650,14.450,14.950
田浦 誠也,日本体育大学,14.250,14.000,13.100,14.650,13.650,14.300
谷川 航,船橋市立船橋高等学校,14.600,13.550,13.500,15.000,14.700,13.700
瀬島 龍三,徳洲会体操ｸﾗﾌﾞ,14.400,12.950,14.300,14.400,15.100,12.500
垣谷 拓斗,セントラルスポーツ,12.800,14.850,14.000,13.700,14.600,14.350
藤原 昇平,早稲田大学,14.050,14.200,13.600,14.400,13.950,13.850
長野 託也,日本大学,14.500,11.800,14.850,14.400,13.350,14.500
村上 雄人,仙台大学,14.550,12.000,13.700,13.650,14.400,14.300
渡邊 恭一,徳洲会体操ｸﾗﾌﾞ,14.450,11.700,13.850,14.000,14.500,13.700
