@title,2014年 NHK杯
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/06/14a_nhk_m.pdf
内村 航平,コナミ,15.400,14.050,14.900,15.300,15.100,15.700
野々村 笙吾,順天堂大学,15.100,14.400,14.600,14.850,15.600,14.400
加藤 凌平,順天堂大学,15.500,14.550,14.600,14.750,15.300,14.900
田中 佑典,コナミ,14.750,14.850,14.500,14.000,15.500,16.000
武田 一志,日本体育大学,14.800,14.600,14.900,14.300,14.600,14.750
神本 雄也,日本体育大学,14.700,13.950,14.750,14.650,15.500,14.500
齊藤 優佑,徳洲会体操ｸﾗﾌﾞ,13.750,14.250,14.050,15.350,14.500,15.350
山本 雅賢,徳洲会体操ｸﾗﾌﾞ,14.450,14.800,14.650,14.700,14.400,14.800
白井 勝太郎,コナミ,15.300,14.600,14.300,14.750,14.050,14.300
金子 健三,順天堂大学,14.950,14.150,14.050,14.150,14.250,15.100
岡 準平,日本体育大学,15.000,14.900,14.300,14.750,13.500,13.150
長谷川 智将,日本体育大学,14.500,14.300,14.150,14.200,14.450,15.350
小山 仁寛,鹿屋体育大学,14.850,14.600,14.250,14.850,14.700,14.300
山室 光史,コナミ,13.200,12.950,15.450,14.800,15.000,14.000
白井 健三,県立岸根高等学校,16.200,13.650,13.150,14.600,14.900,14.050
石川 大貴,順天堂大学,15.100,14.300,13.800,14.150,15.050,15.050
千葉 健太,清風高等学校,15.200,13.550,13.550,14.800,14.550,14.200
植松 鉱治,コナミ,14.700,13.400,13.800,14.000,13.700,15.100
柴田 快輝,順天堂大学,14.450,14.250,13.900,14.150,14.750,14.700
横山 聖,日本体育大学,14.500,14.850,14.250,11.850,15.100,15.100
古谷 嘉章,仙台大学,14.250,14.000,14.200,14.150,14.800,14.550
今林 開人,順天堂大学,14.500,13.150,13.850,14.650,14.400,14.600
井村 太祐,和歌山県体操協会,14.200,14.400,14.150,13.900,14.500,14.400
谷川 航,船橋市立船橋高等学校,15.300,14.100,13.600,14.800,14.550,13.200
瀬島 龍三,徳洲会体操ｸﾗﾌﾞ,15.050,13.300,14.100,14.300,15.150,13.250
山本 翔一,朝日生命,13.900,13.400,13.750,14.000,14.900,14.150
大川 翔平,仙台大学,13.950,14.450,13.750,13.900,14.150,14.100
田浦 誠也,日本体育大学,14.700,13.800,12.550,14.900,14.400,13.950
長野 託也,日本大学,14.700,13.600,14.900,13.800,14.550,13.350
垣谷 拓斗,セントラルスポーツ,14.550,13.450,13.850,14.100,13.900,13.850
村上 雄人,仙台大学,14.800,13.600,14.050,13.650,14.100,14.200
吉岡 知紘,セントラルスポーツ,13.950,12.900,13.350,13.300,14.500,14.800
藤原 昇平,早稲田大学,14.200,13.100,13.750,14.550,14.200,12.700
沖口 誠,コナミ,0.000,14.400,13.900,13.450,13.100,14.300
渡邊 恭一,徳洲会体操ｸﾗﾌﾞ,0.000,12.600,0.000,0.000,15.050,14.900
萱 和磨,習志野市立習志野高等学校,0.000,15.400,0.000,0.000,0.000,0.000
