@title,2013年 世界選手権 個人総合
@link,http://www.fedintgym.com/microsites/13Antwerp/results/files/res/wag/WAG_Results_C2.pdf
BILES Simone,USA,15.850,14.700,14.433,15.233
ROSS Kyla,USA,15.366,15.100,14.533,14.333
MUSTAFINA Aliya,RUS,14.891,15.233,14.166,14.566
IORDACHE Larisa Andreea,ROU,15.033,14.200,13.833,14.700
YAO Jinnan,CHN,14.800,15.333,13.633,13.866
FERRARI Vanessa,ITA,14.400,13.700,14.166,14.466
STEINGRUBER Giulia,SUI,15.300,13.200,13.733,14.466
SHANG Chunsong,CHN,14.000,14.466,13.700,13.966
TERAMOTO Asuka,JPN,14.000,14.033,14.033,13.466
MOORS Victoria,CAN,14.733,13.800,12.300,14.633
FERLITO Carlotta,ITA,14.333,13.233,14.100,13.733
POPA NEDELCU Roxana,ESP,14.800,13.533,12.933,14.100
BLACK Elsabeth,CAN,14.533,12.866,14.133,13.433
MAKRA Noemi,HUN,13.700,13.633,13.900,13.533
SEITZ Elisabeth,GER,14.833,13.733,12.433,12.666
RODIONOVA Anna,RUS,14.141,13.758,12.066,13.333
HARROLD Ruby,GBR,13.900,14.533,11.066,13.700
MYS Gaelle,BEL,13.958,12.366,13.666,12.966
TUNNEY Rebecca,GBR,14.866,13.033,11.966,13.000
van KLAVEREN Noel,NED,14.966,10.633,12.733,13.633
WAEM Laura,BEL,13.800,13.533,12.233,12.366
KAESLIN Ilaria,SUI,13.800,13.100,12.433,12.233
SASADA Natsumi,JPN,13.966,10.366,13.500,13.233
MILLOUSI Vasiliki,GRE,13.166,10.500,12.800,13.066
