@title,2013年 世界選手権 個人予選
@link,http://www.fedintgym.com/microsites/13Antwerp/results/files/res/wag/WAG_CI_Individual_Results.pdf
BILES Simone,USA,15.900,14.800,14.400,15.033
ROSS Kyla,USA,15.166,15.133,14.566,14.333
YAO Jinnan,CHN,14.766,15.433,14.100,13.666
IORDACHE Larisa Andreea,ROU,14.933,13.166,15.266,14.500
MUSTAFINA Aliya,RUS,14.966,14.900,14.133,13.166
MARONEY Mc Kayla,USA,15.850,14.300,12.666,14.333
SHANG Chunsong,CHN,13.966,14.400,14.866,13.766
FERRARI Vanessa,ITA,14.366,13.833,14.216,14.500
STEINGRUBER Giulia,SUI,15.366,13.233,13.833,14.033
BLACK Elsabeth,CAN,14.266,13.366,13.833,14.000
POPA NEDELCU Roxana,ESP,14.866,13.900,12.966,13.600
LOPEZ AROCHA JB,VEN,14.733,13.433,13.133,13.766
van KLAVEREN Noel,NED,14.400,12.966,13.700,13.933
FERLITO Carlotta,ITA,13.866,13.400,14.216,13.466
MOORS Victoria,CAN,14.766,13.166,13.366,13.500
RODIONOVA Anna,RUS,13.933,13.800,14.466,12.400
HARROLD Ruby,GBR,13.766,14.600,12.600,13.266
SASADA Natsumi,JPN,14.033,14.100,12.933,13.100
TUNNEY Rebecca,GBR,14.866,13.600,12.200,13.466
MAKRA Noemi,HUN,13.741,13.566,12.633,13.966
MYS Gaelle,BEL,13.766,13.033,13.700,13.166
WAEM Laura,BEL,13.900,13.533,13.433,12.766
SEITZ Elisabeth,GER,14.400,14.266,12.433,12.433
TERAMOTO Asuka,JPN,13.866,13.033,12.683,13.600
KAESLIN Ilaria,SUI,13.966,12.666,13.733,12.766
MILLOUSI Vasiliki,GRE,13.100,13.300,13.833,12.800
MARTINS Ana Filipa,POR,13.233,13.533,13.166,12.900
STEPHANIE LIMA da.,BRA,14.300,12.466,13.533,12.366
BOCZOGO Dorina,HUN,13.666,13.033,13.066,12.733
PALESOVA Kristyna,CZE,13.766,13.733,12.766,12.066
COLUSSI PELAEZ Silvia,ESP,14.000,12.833,12.900,12.433
GUSTAFSSON Ida,SWE,13.866,12.541,12.633,13.100
SCHEDER Sophie,GER,14.166,14.566,10.966,12.433
SUNG Ji Hye,KOR,13.066,13.933,12.366,12.700
NETTEB Chantysha,NED,14.833,12.108,11.966,12.933
VERSCHUEREN Lisa,BEL,13.700,13.200,12.966,11.733
KYSLA Angelina,UKR,13.900,13.500,11.000,13.100
ROJAS GALEAN Ivet,VEN,13.900,13.433,12.466,11.633
MOKOSOVA Barbora,SVK,13.400,12.000,13.266,12.333
HAEMMERLE Elisa,AUT,13.966,12.741,11.700,12.366
PIHAN­KULESZA Marta,POL,12.266,13.266,13.066,12.033
MUELHAUSER Nadia,SUI,13.900,12.500,12.000,12.033
BECKETT Kirsten,RSA,13.466,12.600,12.366,11.900
RODRIGUEZ RODRIGUEZ Cintia,ESP,13.200,12.566,11.400,13.100
WILLIAMS Toni Ann,JAM,13.933,11.133,12.433,12.766
SANDOVAL AFANADOR,COL,13.233,12.758,12.033,12.133
ECKER Lisa,AUT,13.833,12.466,11.600,11.700
ABDUSALIMOVA Dilnoza,UZB,13.266,12.066,11.966,12.200
PENA ABREU Yamilet,DOM,14.900,11.933,11.200,11.366
DICK Marisa,TRI,13.633,12.066,12.733,10.800
TORRES NUNEZ KA,MEX,13.766,11.666,12.033,11.433
BOUMEJMAJEN Mira,FRA,13.183,12.266,11.200,12.166
HULGAARD Mette,DEN,13.400,11.291,12.000,12.033
DUISEK Zhanerke,KAZ,13.008,11.100,12.966,11.466
LIM Nicolette Shu Min,SIN,13.133,11.800,11.500,12.100
SHOKRY Farida Ahmed,EGY,13.366,10.566,12.433,12.166
PARK Jisoo,KOR,13.233,10.908,12.066,12.316
ESCOBAR GOMEZ CE,COL,14.500,11.500,10.766,11.033
LIM Heem Wei,SIN,13.066,10.766,11.333,12.166
MADER Jasmin,AUT,13.266,9.600,12.333,12.066
SANCHEZ REID Mariana,CRC,12.333,12.050,10.566,12.233
OJALA Rosanna,FIN,13.375,11.733,10.033,11.766
KARMAKAR Dipa,IND,13.866,10.316,10.366,12.100
KIRK Mathilde,DEN,12.833,10.766,10.833,11.491
MUTLU Demet,TUR,13.600,10.000,10.600,11.658
