@title,2014年 全日本決勝
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/05/14a_nai_wf.pdf
笹田 夏実,日本体育大学,13.900,13.450,14.700,13.900,55.950
寺本 明日香,中京大学,14.200,13.450,14.300,13.500,55.450,0.500
平岩 優奈,三菱養和体操ｽｸｰﾙ,14.150,13.100,14.500,13.200,54.950,0.500
美濃部 ゆう,朝日生命,13.000,13.800,14.800,12.400,54.000,0.950
井上 和佳奈,筑波大学,13.200,13.250,13.950,13.600,54.000
村上 茉愛,池谷幸雄体操倶楽部,14.650,12.550,12.500,13.650,53.350,0.650
河崎 真理菜,とらい体操クラブ,13.800,13.200,13.400,12.600,53.000,0.350
石倉 あづみ,ZERO体操クラブ,13.200,12.850,13.500,13.250,52.800,0.200
山本 優理子,戸田市スポーツセンター,13.950,13.200,12.950,12.550,52.650,0.150
宮川 紗江,セインツ体操クラブ,14.450,12.300,12.150,13.650,52.550,0.100
土橋 ココ,レジックスポーツ,14.000,12.150,12.850,13.450,52.450,0.100
湯元 さくら,ならわ体操クラブ,13.500,12.250,13.600,13.000,52.350,0.100
佐藤 亜希穂,日本体育大学,14.000,12.250,12.800,12.950,52.000,0.350
永井 美津穂,日本体育大学,14.850,12.050,13.150,11.850,51.900,0.100
夏目 侑香,武庫川女子大学,12.900,12.050,12.950,12.900,50.800,1.100
杉原 愛子,羽衣体操クラブ,13.100,12.000,12.100,13.550,50.750,0.050
山本 夢夏,国士舘大学,13.650,12.000,12.750,12.300,50.700,0.050
北野 宅子,和歌山県教育庁,13.550,11.850,12.150,12.300,49.850,0.850
松村 泰葉,中京ジムナスティッククラブ,13.500,12.200,11.100,12.700,49.500,0.350
河久保 絢,慶應義塾大学,13.300,12.250,11.450,12.500,49.500
芦川 七瀬,水鳥体操館,12.550,12.450,13.050,11.400,49.450,0.050
本田 美波,尼崎市立尼崎高等学校,13.550,10.600,12.450,12.300,48.900,0.550
杉村 美奈,国士舘大学,13.600,12.500,12.550,10.150,48.800,0.100
古賀 ほのか,日本体育大学,12.900,11.150,11.200,11.800,47.050,1.750
