@title,2014 全日本予選
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/05/14a_nai_w1.pdf
寺本 明日香,中京大学,14.100,13.600,14.250,13.800,55.750
笹田 夏実,日本体育大学,13.750,13.400,14.300,13.700,55.150,0.600
村上 茉愛,池谷幸雄体操倶楽部,14.850,12.650,12.800,14.000,54.300,0.850
井上 和佳奈,筑波大学,13.300,13.000,14.100,13.600,54.000,0.300
永井 美津穂,日本体育大学,14.850,11.950,13.100,13.400,53.300,0.700
土橋 ココ,レジックスポーツ,14.300,12.600,13.150,13.250,53.300
河崎 真理菜,とらい体操クラブ,13.750,13.350,13.350,12.700,53.150,0.150
美濃部 ゆう,朝日生命,12.950,12.400,14.450,13.050,52.850,0.300
平岩 優奈,三菱養和体操ｽｸｰﾙ,14.000,13.000,12.850,13.000,52.850
佐藤 亜希穂,日本体育大学,14.100,12.800,12.650,13.200,52.750,0.100
杉原 愛子,羽衣体操クラブ,13.550,12.400,13.000,13.450,52.400,0.350
山本 優理子,戸田市スポーツセンター,14.050,13.000,12.650,12.550,52.250,0.150
宮川 紗江,セインツ体操クラブ,14.350,12.250,11.750,13.850,52.200,0.050
湯元 さくら,ならわ体操クラブ,13.450,12.250,13.200,13.250,52.150,0.050
本田 美波,尼崎市立尼崎高等学校,13.200,12.500,13.750,12.450,51.900,0.250
山本 夢夏,国士舘大学,13.650,11.850,12.800,13.350,51.650,0.250
北野 宅子,和歌山県教育庁,13.500,12.350,13.200,12.400,51.450,0.200
河久保 絢,慶應義塾大学,12.950,12.150,13.350,12.800,51.250,0.200
石倉 あづみ,ZERO体操クラブ,13.100,12.600,13.150,12.200,51.050,0.200
古賀 ほのか,日本体育大学,13.050,12.650,12.400,12.950,51.050
杉村 美奈,国士舘大学,13.450,12.250,12.800,12.450,50.950,0.100
松村 泰葉,中京ジムナスティッククラブ,13.300,12.500,12.550,12.550,50.900,0.050
夏目 侑香,武庫川女子大学,13.350,12.000,13.050,12.300,50.700,0.200
芦川 七瀬,水鳥体操館,13.300,12.400,12.750,12.200,50.650,0.050
野田 咲くら,朝日生命,13.200,12.100,13.800,11.500,50.600,0.050
寺尾 唯,日本体育大学,13.100,12.100,12.250,12.800,50.250,0.350
内村 春日,日本体育大学大学院,12.700,12.200,12.850,12.500,50.250
湯元 ゆりか,ならわ体操クラブ,12.950,12.350,12.000,12.750,50.050,0.200
時枝 里衣,国士舘大学,13.600,11.450,13.000,11.900,49.950,0.100
安井 若菜,玉川体操クラブ,13.500,12.100,13.100,11.200,49.900,0.050
石井 友梨,京都GYMクラブ,13.300,11.800,12.050,12.700,49.850,0.050
新井 菜央,ZERO体操クラブ,12.900,12.450,13.200,11.000,49.550,0.300
籾山 優佳,セインツ体操クラブ,13.700,9.450,12.300,13.750,49.200,0.350
森口 紗希,鯖江高等学校,12.850,11.850,12.400,12.050,49.150,0.050
小池 亜優,戸田市スポーツセンター,13.100,12.050,12.350,11.600,49.100,0.050
木村 菜智子,日本体育大学,13.000,11.250,12.400,12.400,49.050,0.050
宮内 玲奈,戸田市スポーツセンター,13.050,10.650,12.350,12.900,48.950,0.100
丸山 珠代,武庫川女子大学,13.050,10.850,12.850,12.200,48.950
前田 早知子,中京大学,13.300,11.200,11.900,12.500,48.900,0.050
藤野 夏海,東京女子体育大学,12.900,11.800,11.850,12.100,48.650,0.250
稲川 右佳,中京ジムナスティッククラブ,13.700,10.700,11.700,12.500,48.600,0.050
石曽根 里央,朝日生命,13.200,12.000,11.150,11.950,48.300,0.300
小畠 彩夏,東京女子体育大学,13.450,11.500,11.000,12.050,48.000,0.300
杉本 阿美,武庫川体操クラブ,13.000,11.000,11.450,12.400,47.850,0.150
刀根 綾菜,中京ジムナスティッククラブ,13.050,11.250,11.100,12.450,47.850
山岡 眞惟子,日本体育大学,12.000,11.800,12.100,11.850,47.750,0.100
早川 カンナ,日本体育大学,13.550,10.400,11.750,11.800,47.500,0.250
鈴木 新菜,東京女子体育大学,12.650,11.550,11.850,11.350,47.400,0.100
杉田 しずか,セントラル目黒,12.150,11.700,11.750,11.650,47.250,0.150
井岡 二千華,羽衣体操クラブ,11.450,11.550,11.500,12.550,47.050,0.200
山口 花帆,武庫川女子大学,12.400,10.000,12.650,11.900,46.950,0.100
長谷部 晴子,八王子体操ｸﾗﾌﾞ,12.700,10.900,11.600,11.550,46.750,0.200
新垣 まどか,国士舘大学,12.050,11.500,11.400,11.350,46.300,0.450
本間 未来,県立岸根高等学校,12.600,11.100,11.200,11.150,46.050,0.250
吉村 美花,日本体育大学,12.300,11.650,12.150,9.900,46.000,0.050
水永 菜月,朝日生命,12.250,11.350,10.450,11.800,45.850,0.150
岡田 麻衣,戸田市スポーツセンター,11.000,10.800,11.900,11.900,45.600,0.250
矢田部 清花,サトエスポーツクラブ,13.200,10.650,11.500,10.150,45.500,0.100
柴田 莉歩,国士舘大学,12.350,10.450,10.200,12.200,45.200,0.300
市瀬 柚子,レジックスポーツ,13.300,9.650,11.100,10.600,44.650,0.550
杉原 好栄,日本体育大学,12.400,8.600,11.500,12.100,44.600,0.050
東岡 夏央,大阪体育大学,12.500,9.800,11.300,10.950,44.550,0.050
平松 花梨,日本女子体育大学,11.300,11.000,11.700,10.250,44.250,0.300
山口 比奈子,武庫川女子大学,12.050,6.250,12.250,11.950,42.500,1.750
栗原 愛実,大阪体育大学,12.750,11.800,10.750,2.950,38.250,4.250
小山 愛,筑波大学,0.000,11.250,0.000,0.000,11.250,27.000
