@title,2014年 NHK杯
@link,http://www.jpn-gym.or.jp/wp-content/uploads/2014/06/14a_nhk_w.pdf
笹田 夏実,日本体育大学,13.800,13.900,14.600,13.450
寺本 明日香,中京大学,14.100,13.650,13.900,13.250
井上 和佳奈,筑波大学,13.250,13.100,13.400,13.150
村上 茉愛,池谷幸雄体操倶楽部,14.450,12.700,13.050,12.900
石倉 あづみ,ZERO体操クラブ,13.500,12.750,13.700,13.150
美濃部 ゆう,朝日生命,12.450,13.950,14.300,11.600
宮川 紗江,セインツ体操クラブ,15.150,12.900,10.800,14.050
河崎 真理菜,とらい体操クラブ,13.750,12.750,13.200,12.550
永井 美津穂,日本体育大学,15.000,12.200,12.000,13.250
山本 優理子,戸田市スポーツセンター,14.000,12.950,12.650,12.350
平岩 優奈,三菱養和体操ｽｸｰﾙ,13.900,12.700,10.800,13.200
杉原 愛子,羽衣体操クラブ,13.600,12.600,12.650,13.250
湯元 さくら,ならわ体操クラブ,13.550,12.500,12.550,12.650
佐藤 亜希穂,日本体育大学,14.150,12.350,12.200,12.700
本田 美波,尼崎市立尼崎高等学校,13.450,12.700,13.900,12.600
土橋 ココ,レジックスポーツ,14.100,10.850,11.950,13.050
北野 宅子,和歌山県教育庁,13.550,12.250,13.000,11.800
芦川 七瀬,水鳥体操館,13.250,12.850,12.800,11.800
河久保 絢,慶應義塾大学,13.350,12.450,11.950,12.700
松村 泰葉,中京ジムナスティッククラブ,13.550,12.550,12.250,11.750
古賀 ほのか,日本体育大学,12.850,12.300,12.500,12.650
夏目 侑香,武庫川女子大学,13.000,9.350,10.350,12.000
